kPC1,kPC2,kPC3,kPC4,kPC5,kPC6,kPC7,kPC8,kPC9,kPC10,kPC11
-0.40294729720223055,-0.27451546709254016,0.22463035038247697,0.05780854000355886,0.05695239847321378,-0.044729279702900006,-0.007149352466412929,0.15291451407472198,0.09899801176924447,0.043795770339942516,0.009884873485168347
-0.20257737261329603,0.39966599478694487,-0.12223227103404022,-0.13557225489447658,-0.235072283122614,0.055475006048562904,0.08346424221267111,-0.1120646986053919,0.009084268119682005,-0.01841966312329254,0.3758936816849491
0.2077235516713009,0.05261904107132197,-0.17661032613457117,0.5634087903031267,0.04336157972348131,0.015582387245111528,-0.008108527236638137,-0.27770338864542776,0.13668045977973228,0.05501530515898231,-0.0647950151795117
-0.4652651426423515,-0.24158532647443806,0.019957023575375828,0.11049847546845426,0.11842180690368792,0.07221989434460499,0.06960723220235293,0.18678056029277787,0.13150325502591761,0.024822925539202064,-0.015276694505196399
0.06479988066012946,-0.3744430407837003,-0.16204244107449667,-0.13418011645026212,-0.02850425434382639,-0.14969096980471086,0.08045380753742609,0.1129206736155785,0.061286383986569846,-0.10146963425883312,-0.006222903284627868
0.3386132587807196,0.3835216303438533,0.053809788915967154,0.12006812149918047,0.07359076737501387,0.08148281969038533,0.02394321520897697,0.32006109143663997,0.051048873452226334,0.13091820552331573,0.0047192654089446805
0.2679893629213794,-0.44575432869021886,-0.1828276468623221,-0.26391372685802517,-0.031109571807031767,-0.2131773008749633,0.04248025122171513,-0.0016131617001208804,0.10199263045296113,0.03699608815291532,0.008321594832220273
-0.23650269229514556,-0.283146336404167,-0.0923161272761091,0.15416122871638585,-0.11262222271950809,0.011820533214597558,0.26436192908404876,-0.045949726872407545,-0.08376387359007498,0.1714858815745967,-0.06736647023540548
-0.11390851567541942,0.0633801842010634,0.33778095463257335,0.2520110456251784,-0.26041602841252126,-0.12788739274832348,0.19147243392552687,-0.10823226800115167,-0.16918508315963318,0.2544127672273548,-0.03783104307421731
0.29967132923855433,-0.4163241483954095,-0.17432075449559592,-0.2760008216368404,-0.009722949092096743,-0.22121278042397588,0.010200061867300355,0.07350435634746873,0.1100300274681021,-0.01898977501682517,0.032728593099035
-0.30904915255242904,-0.23486435358835442,0.13696548418926913,0.28681692094765016,0.046374475490159314,-0.035816913173864026,-0.027448468754032052,0.00126522498506113,0.08610447429957034,-0.007303124724909785,0.029953101676343227
0.4440509295076299,-0.2803494212105884,-0.17285385029335162,0.03926110460546001,-0.015046490030980826,-0.029046676682201195,-0.06353276318945494,0.0763647335655597,-0.09198725423737525,-0.10352045143285009,0.10460071876674187
